id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
37457146,"Fun 1 br+ HOUSE! Yard, Pets, Near Food/Bars/Park!",Humboldt,45.56263,-122.67476,Entire home/apt,177,4,13,89,1.20,2026-01-03
37508779,Dreamer #9–Just Steps from the Max,Kenton,45.58296,-122.68431,Entire home/apt,142,30,278,1,0.01,2020-04-30
37509421,Artist #5–Just Steps from the Max,Kenton,45.58335,-122.68241,Entire home/apt,116,30,226,17,0.21,2025-09-08
37509738,Entertainer #4–Just Steps from the Max,Kenton,45.58499,-122.68456,Entire home/apt,124,30,277,39,0.49,2026-05-24
37565004,Modern 4BR home in trendy Portland neighborhood,King,45.56217,-122.6631,Entire home/apt,294,1,335,490,5.88,2026-06-11
37593569,1913 Bungalow in the Heart of Roseway,Rose City Park,45.53575,-122.6048,Entire home/apt,,2,3,53,0.64,2026-06-11
37770353,"Bright, Cozy Apt in Heart of North Portland",Arbor Lodge,45.57280349731445,-122.67955017089844,Entire home/apt,139,2,235,73,1.00,2026-04-12
37802604,"Brand New, Open, Modern and Pet Friendly",Arbor Lodge,45.57481,-122.68918,Entire home/apt,,30,0,5,0.06,2026-03-07
37880229,Two bedroom condo with a fully stocked kitchen!,Arnold Creek,45.43725,-122.70818,Entire home/apt,94,30,362,22,0.27,2025-09-29
37904834,Three Wishes Studio,Richmond,45.50523,-122.63024,Entire home/apt,188,2,227,189,2.29,2026-05-29
37918192,Artist's Urban Jungle Loft SE Portland (apartment),South Tabor,45.49893,-122.60403,Entire home/apt,123,2,24,259,3.19,2026-06-07
37919008,Spacious and Bright Daylight Basement Apartment,Kenton,45.58106,-122.69228,Entire home/apt,156,2,183,118,1.44,2026-05-10
37937007,Hawthorne - a block or 2 to just about everything!,Richmond,45.50885,-122.62735,Entire home/apt,211,3,96,86,1.04,2026-05-26
37969468,Beautiful Updated Quiet Condo with Parking Stall!,Goose Hollow,45.51861,-122.69347,Entire home/apt,11,180,294,4,0.06,2026-02-02
38027305,"The Pasadena House, Private home minutes from pdx!",Ashcreek,45.44571,-122.73468,Entire home/apt,151,30,226,15,0.18,2025-08-16
38131490,"Precious Dash Space- 4 guests, 2bdrm, private bath",King,45.56445,-122.6611,Private room,82,1,233,621,7.56,2026-06-11
38137124,SE Portland  private studio near Division,Richmond,45.49973,-122.62764,Entire home/apt,,4,0,210,2.54,2026-01-04
38188608,The Concordia Retreat,Concordia,45.56436,-122.63906,Private room,86,1,308,396,4.83,2026-06-11
38195185,"WanderLuxe, Luxury+ Location +Walk to Food & Parks",Beaumont-Wilshire,45.55414,-122.62817,Entire home/apt,226,2,311,122,1.71,2026-06-11
38262484,Small luxury studio apartment in the heart of FoPo,Foster-Powell,45.4913,-122.59771,Entire home/apt,,31,0,10,0.14,2021-11-02
38264102,Light-filled Craftsman in trendy neighborhood,Richmond,45.50963,-122.61359,Entire home/apt,,2,0,56,0.68,2024-07-12
38292968,Art-filled Townhouse steps from NW 23rd Avenue,Northwest District,45.53497,-122.70147,Entire home/apt,546,1,32,82,1.01,2026-05-11
38299327,Su Casa,Piedmont,45.56969,-122.66615,Entire home/apt,,30,0,11,0.13,2022-07-18
38319354,Private Guesthouse Above Detached Garage,King,45.5496,-122.65906,Entire home/apt,,2,1,184,2.32,2026-06-14
38319691,Dreamer #3-Just Steps from the Max (No Stairs),Kenton,45.58299,-122.68408,Entire home/apt,124,2,272,64,0.96,2025-09-04
38362548,Charming craftsman style Montavilla private suite,Montavilla,45.51866,-122.57608,Entire home/apt,,30,0,170,2.06,2024-08-25
38385952,Central & spacious vintage flat,Buckman,45.516944091708666,-122.63838030752444,Entire home/apt,,30,18,1,0.22,2026-02-06
38433196,2-Bedroom Light & Bright St Johns Central House,St. Johns,45.59198,-122.74863,Entire home/apt,280,1,44,257,3.23,2026-05-20
38491322,Tidy Studio- Newly built in Foster Powell,Foster-Powell,45.49344,-122.59208,Entire home/apt,126,1,179,343,4.33,2026-06-07
38500509,Cozy Bedroom with great location  near MAX,Hazelwood,45.52743,-122.52076,Private room,37,30,255,18,0.25,2026-01-23
38541570,Shipping Container tiny house with private patio,Foster-Powell,45.49531,-122.59083,Entire home/apt,168,4,206,144,1.96,2026-06-01
38665482,1950s Woodlawn Bungalow | Walk to Cafés & Parks,Woodlawn,45.57069,-122.64388,Entire home/apt,210,30,172,57,0.94,2022-05-01
38671207,Bright and Airy Private Studio Amazing Location!,Buckman,45.52237,-122.64993,Entire home/apt,133,2,204,386,4.89,2026-06-07
