month,geo,unit,value,geo_label,unit_label
2018-04,NL,I15,104.75,Netherlands,"Index, 2015=100"
2018-05,NL,I15,104.75,Netherlands,"Index, 2015=100"
2018-06,NL,I15,104.75,Netherlands,"Index, 2015=100"
2018-07,NL,I15,107.16,Netherlands,"Index, 2015=100"
2018-08,NL,I15,107.16,Netherlands,"Index, 2015=100"
2018-09,NL,I15,107.16,Netherlands,"Index, 2015=100"
2018-10,NL,I15,107.2,Netherlands,"Index, 2015=100"
2018-11,NL,I15,107.2,Netherlands,"Index, 2015=100"
2018-12,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-01,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-02,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-03,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-04,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-05,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-06,NL,I15,107.2,Netherlands,"Index, 2015=100"
2019-07,NL,I15,109.91,Netherlands,"Index, 2015=100"
2019-08,NL,I15,109.91,Netherlands,"Index, 2015=100"
2019-09,NL,I15,109.91,Netherlands,"Index, 2015=100"
2019-10,NL,I15,109.91,Netherlands,"Index, 2015=100"
2019-11,NL,I15,109.91,Netherlands,"Index, 2015=100"
2019-12,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-01,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-02,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-03,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-04,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-05,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-06,NL,I15,109.91,Netherlands,"Index, 2015=100"
2020-07,NL,I15,113.08,Netherlands,"Index, 2015=100"
2020-08,NL,I15,113.08,Netherlands,"Index, 2015=100"
2020-09,NL,I15,113.08,Netherlands,"Index, 2015=100"
2020-10,NL,I15,113.15,Netherlands,"Index, 2015=100"
2020-11,NL,I15,113.15,Netherlands,"Index, 2015=100"
2020-12,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-01,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-02,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-03,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-04,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-05,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-06,NL,I15,113.15,Netherlands,"Index, 2015=100"
2021-07,NL,I15,114.0,Netherlands,"Index, 2015=100"
2021-08,NL,I15,114.0,Netherlands,"Index, 2015=100"
2021-09,NL,I15,114.0,Netherlands,"Index, 2015=100"
2021-10,NL,I15,114.0,Netherlands,"Index, 2015=100"
2021-11,NL,I15,114.0,Netherlands,"Index, 2015=100"
2021-12,NL,I15,114.0,Netherlands,"Index, 2015=100"
2022-01,NL,I15,114.0,Netherlands,"Index, 2015=100"
2022-02,NL,I15,114.0,Netherlands,"Index, 2015=100"
2022-03,NL,I15,114.0,Netherlands,"Index, 2015=100"
2022-04,NL,I15,114.0,Netherlands,"Index, 2015=100"
2022-05,NL,I15,114.0,Netherlands,"Index, 2015=100"
