state,state_name,county,metro,fmr_0br_median,fmr_0br_max,fmr_1br_median,fmr_1br_max,fmr_2br_median,fmr_2br_max,fmr_3br_median,fmr_3br_max,fmr_4br_median,fmr_4br_max,area_rows
CA,California,Amador County,nonmetro,1387,1387,1396,1396,1698,1698,2220,2220,2714,2714,1
CA,California,Butte County,metro,1155,1155,1270,1270,1625,1625,2260,2260,2726,2726,1
CA,California,Calaveras County,nonmetro,1078,1078,1175,1175,1542,1542,2145,2145,2316,2316,1
CA,California,Colusa County,nonmetro,989,989,995,995,1306,1306,1723,1723,1729,1729,1
CA,California,Contra Costa County,metro,2142,2142,2385,2385,2912,2912,3724,3724,4413,4413,1
CA,California,Del Norte County,nonmetro,957,957,1222,1222,1370,1370,1905,1905,2277,2277,1
CA,California,El Dorado County,metro,1748,1748,1832,1832,2255,2255,3002,3002,3460,3460,1
CA,California,Fresno County,metro,1347,1347,1355,1355,1664,1664,2314,2314,2660,2660,1
CA,California,Glenn County,nonmetro,939,939,1038,1038,1362,1362,1807,1807,2179,2179,1
CA,California,Humboldt County,nonmetro,1112,1112,1186,1186,1550,1550,2156,2156,2600,2600,1
CA,California,Imperial County,metro,939,939,1038,1038,1362,1362,1845,1845,2285,2285,1
CA,California,Inyo County,nonmetro,1058,1058,1381,1381,1514,1514,1940,1940,2540,2540,1
CA,California,Kern County,metro,1132,1132,1140,1140,1483,1483,2062,2062,2488,2488,1
CA,California,Kings County,metro,1150,1150,1157,1157,1469,1469,2043,2043,2451,2451,1
CA,California,Lake County,nonmetro,1173,1173,1181,1181,1549,1549,2154,2154,2599,2599,1
CA,California,Lassen County,nonmetro,882,882,1016,1016,1279,1279,1779,1779,2146,2146,1
CA,California,Los Angeles County,metro,2079,2079,2328,2328,2903,2903,3681,3681,4098,4098,1
CA,California,Madera County,metro,1055,1055,1062,1062,1376,1376,1914,1914,2275,2275,1
CA,California,Marin County,metro,2485,2485,2977,2977,3604,3604,4604,4604,4772,4772,1
CA,California,Mariposa County,nonmetro,1016,1016,1148,1148,1454,1454,2022,2022,2439,2439,1
CA,California,Mendocino County,nonmetro,1269,1269,1306,1306,1713,1713,2382,2382,2789,2789,1
CA,California,Merced County,metro,1116,1116,1213,1213,1503,1503,2067,2067,2503,2503,1
CA,California,Modoc County,nonmetro,774,774,883,883,1108,1108,1434,1434,1831,1831,1
CA,California,Mono County,nonmetro,1171,1171,1528,1528,1675,1675,2330,2330,2769,2769,1
CA,California,Monterey County,metro,2173,2173,2232,2232,2684,2684,3623,3623,3945,3945,1
CA,California,Napa County,metro,2286,2286,2526,2526,3315,3315,4222,4222,4942,4942,1
CA,California,Nevada County,nonmetro,1373,1373,1382,1382,1813,1813,2521,2521,3041,3041,1
CA,California,Orange County,metro,2682,2682,2746,2746,3236,3236,4393,4393,5246,5246,1
CA,California,Placer County,metro,1748,1748,1832,1832,2255,2255,3002,3002,3460,3460,1
CA,California,Plumas County,nonmetro,973,973,1075,1075,1411,1411,1962,1962,1995,1995,1
CA,California,Riverside County,metro,1692,1692,1777,1777,2201,2201,2912,2912,3514,3514,1
CA,California,Sacramento County,metro,1748,1748,1832,1832,2255,2255,3002,3002,3460,3460,1
CA,California,San Benito County,metro,2205,2205,2212,2212,2902,2902,3944,3944,4190,4190,1
CA,California,San Bernardino County,metro,1692,1692,1777,1777,2201,2201,2912,2912,3514,3514,1
CA,California,San Diego County,metro,2288,2288,2459,2459,3001,3001,3998,3998,4845,4845,1
CA,California,San Francisco County,metro,2485,2485,2977,2977,3604,3604,4604,4604,4772,4772,1
